Song_Name,onset_strength,chroma_stft,chroma_cqt,chroma_cens,melspectrogram,mfcc,spectral_centroid,spectral_bandwidth,spectral_contrast,spectral_rolloff,tonnetz,zero_crossing_rate,Class
bhajan/Pappu Sharma - Shyam Dhani Ke Male Main Jana.opus,1.479075782,0.413482031,0.571177821,0.267647212,14.74306545,5.439939897,3458.55605,3743.619753,20.75493776,7461.687913,0.006683841,0.077937492,bhajan
bhajan/Pappu Sharma - Hum Hain Balak Tumhare Tum Ho Malike Hamera.opus,1.408014003,0.368451271,0.509688586,0.254288477,1.504370847,-1.554307119,2736.550053,3420.393903,20.97860819,5625.338419,-0.006981067,0.055820802,bhajan
bhajan/Ravindra Jain - Jai Shiv Shankar Jai Mahadeva.opus,1.35418555,0.331866836,0.458936801,0.244231776,3.400871628,-1.578118146,3116.309388,3652.748153,22.28665611,6863.700973,0.014567418,0.061816362,bhajan
bhajan/Sadhana Sargam - Humko Man Ki Shakti Dena.opus,1.29467994,0.380367438,0.443446526,0.23229737,4.0154307,-0.057914089,3180.641436,3034.267534,21.18543549,6174.152082,-0.013995636,0.083971268,bhajan
bhajan/Anup Jalota - Payoji Maine Ram Ratan Dhan.opus,1.336615941,0.372854858,0.473848963,0.250270952,1.408817156,-7.184141314,2330.245134,2976.002564,21.04394945,4613.592221,0.007527894,0.04684521,bhajan
bhajan/Naresh Pawar Bikaneri - Mila Mujhe Teri Kripa Se.opus,1.333084248,0.339599804,0.480838817,0.25000038,5.190655839,0.468747892,2123.832326,2505.236855,21.61425249,4323.397404,-3.96E-05,0.049871629,bhajan
bhajan/Anup Jalota - Hridaya Banalo Bhakto.opus,1.432118998,0.333199049,0.485690214,0.250974662,0.315040963,-8.783179675,2157.360426,2168.246909,20.69563292,4416.272954,0.004057622,0.05975198,bhajan
bhajan/Narendra Chanchal - Meri Maiya Ne.opus,1.401058379,0.398160027,0.515011558,0.257811496,8.222409957,-2.010378166,1851.477051,2538.272851,19.97790392,3433.063819,0.010225567,0.040841652,bhajan
bhajan/Kanhiya Mittal - Khatu Ji Jaane Ko Jee Lalchata Hai.opus,1.475905811,0.45182782,0.493210539,0.251908959,12.83586777,3.87680941,2490.476788,3362.273913,21.3947143,5611.222556,0.001482166,0.041789046,bhajan
bhajan/Anup Jalota - Ae Malik Tere Bande Hum.opus,1.322593692,0.363770722,0.476348624,0.247808395,11.62343484,2.685713642,3054.652174,4035.755484,20.37406918,6591.229202,-0.008444813,0.054208407,bhajan
bhajan/Tripti Shakya - Hamein Bhi Bulana Baba.opus,1.364689259,0.367952613,0.470749144,0.247320522,6.876690205,0.45643944,2194.555942,2676.941423,21.50157386,4558.864841,-0.001905665,0.043679171,bhajan
bhajan/Sarvesh Kumar - Sai Hai Maata Sai Pita Hai.opus,1.288651381,0.406445469,0.479690496,0.24319158,4.494064436,2.291737777,2994.337533,3519.329373,21.06777029,6725.495405,0.005506365,0.068705724,bhajan
bhajan/Anup Jalota - Aisi Laagi Lagan.opus,1.346884048,0.374487135,0.468295827,0.2500232,6.627954277,-3.588800488,2099.526419,2199.524321,21.88364462,3857.395166,-0.005654643,0.05752165,bhajan
bhajan/Sonu Nigam - Ashutosh Shashamk Shekhar.opus,1.285939602,0.390781854,0.507735711,0.256171314,6.781142203,-3.546209774,2051.242448,1405.63915,21.42972526,3399.658593,0.005970315,0.077118585,bhajan
bhajan/Sanjay Mittal - Ati Kabhi Na Karna Pyare.opus,1.476096742,0.348912556,0.488704026,0.253994183,3.512988511,-2.019436312,4250.277457,4110.586834,20.94106364,8438.204357,-0.000579462,0.110794875,bhajan
bhajan/Sadhana Sargam - Yashomati Maiya Se.opus,1.305747088,0.339979011,0.448481382,0.233420835,5.123573045,-2.460601465,2745.555327,2794.028086,21.56259203,5322.557495,0.017460476,0.067987593,bhajan
bhajan/Nitin Mukesh - Jai Shiv Omkara.opus,1.297666815,0.368414017,0.462131991,0.242998372,3.228054607,-2.227108369,2580.024798,2770.375433,21.55470065,5144.347842,0.00257658,0.060314869,bhajan
bhajan/Kanhiya Mittal - Mera to Sahara Shyam Tu Hai.opus,1.384429419,0.395377112,0.473987271,0.249018894,6.64308394,1.70376686,3567.438073,4177.622151,22.04544908,8055.339729,0.000504742,0.071150704,bhajan
bhajan/Tripti Shakya - Shyam Baba Ke Darbar.opus,1.46763462,0.317733416,0.513203577,0.257078005,8.388324147,1.485149364,2879.733518,3382.697702,22.22800084,6033.285868,-0.005089174,0.060965305,bhajan
bhajan/Anup Jalota - Bol Pinjare Ka Tota Ram.opus,1.436486099,0.348452238,0.496361313,0.253502165,3.918690537,-1.685524075,2983.858519,3087.305281,21.33828296,6054.937996,-0.005258633,0.073325618,bhajan
bhajan/Hariharan - Subah Subah Le Shiv Ka Naam Kar Le Bande Ye Shubh Kaam.opus,1.266743973,0.299153948,0.41540159,0.234975787,13.81555141,-3.05602434,1617.553534,1908.11942,22.07846303,2855.649817,0.020617548,0.038455275,bhajan
bhajan/Saindhavi - Sriman Narayana.opus,1.264981318,0.347537306,0.418686007,0.226723661,1.446441376,-7.021059444,1719.7872,2685.976922,20.42522668,3321.319403,0.026014237,0.025584437,bhajan
bhajan/Tripti Shakya - Ariri Mein Naachungi Gaaugi.opus,1.619327202,0.287490424,0.480615879,0.254338469,1.938253589,-4.189807025,2964.964232,3236.302307,21.68418284,5804.829639,-0.019093634,0.068758967,bhajan
bhajan/Bhimsen Joshi - Chalo Ri Murali Suniye.opus,1.363727476,0.338877896,0.465687544,0.246062155,5.741969359,2.100754341,4020.763785,4176.442736,21.77038479,8510.671652,-0.021157138,0.087224569,bhajan
bhajan/Kanhiya Mittal - Subah Subah Jab Bhi Meri Aankhe Khulti Hai Bhajan.opus,1.478354464,0.387272451,0.432036157,0.235978976,8.755232416,2.586675999,2365.870252,3246.404978,20.97442672,5067.365234,0.005777053,0.039556184,bhajan
bhajan/Tripti Shakya - Chalo Mummy Papa Ek Baar.opus,1.507855781,0.342427752,0.480332128,0.249013277,0.715479306,-5.716667439,2208.796342,2564.206471,21.39446441,4141.114644,0.019978265,0.055782421,bhajan
bhajan/Naresh Pawar Bikaneri - Teri Seva Mili Jo Baba.opus,1.389766876,0.396578547,0.453212157,0.237218432,5.134240029,1.280280144,2136.311623,2465.679575,22.05360006,4243.793024,0.010206787,0.049108045,bhajan
bhajan/Asha Bhosle - Sancha Naam Tera - From Julie - Soundtrack Version.opus,1.345489189,0.271979513,0.441376838,0.242088951,3.758990024,-4.942520339,1531.790526,1634.621596,21.03752286,2909.718095,0.007513608,0.039124269,bhajan
bhajan/Tripti Shakya - Holi Fagan Mein Khelein Shyam Bihari.opus,1.353472207,0.366697361,0.602109468,0.270955286,12.07366507,4.048596629,3530.589262,4295.83249,20.83771509,8080.155647,0.006803984,0.060550075,bhajan
bhajan/Mahendra Kapoor - Ramchandra Kah Gaye.opus,1.356308945,0.310434539,0.461914702,0.250007423,2.683607516,-4.774855507,2188.522447,1996.597435,21.09609355,4541.484362,-0.001508145,0.059139772,bhajan
bhajan/Mukesh Bagda - Mera Apki Kripa Se.opus,1.468240783,0.373086768,0.458655134,0.242374236,5.862336562,1.042686725,3029.132222,3214.037641,21.87367234,5953.978967,0.001109048,0.06957338,bhajan
bhajan/Sadhana Sargam - Bada Natkhat.opus,1.240201133,0.264484712,0.426124888,0.238352758,2.027194003,-10.24115185,1604.473574,1533.026192,21.19732712,2883.242986,-0.012784395,0.047045598,bhajan
bhajan/Naresh Pawar Bikaneri - Kesar Chandan Tilak Lagao.opus,1.37675681,0.382068257,0.42343244,0.229891078,5.563496431,3.559481408,2222.429201,2457.985155,21.9448332,4466.003331,-0.003756559,0.053013243,bhajan
bhajan/Lata Mangeshkar - Tum Hi Ho Mata Pita Tumhi Ho.opus,1.28768901,0.270765483,0.426745193,0.239360182,3.400737989,-8.152560305,1656.032866,1669.256653,20.96082811,2928.410352,0.003250669,0.04864291,bhajan
bhajan/Bhaiya Krishan Das Ji - Mera Aapki Kripa Se.opus,1.35140049,0.379212712,0.554546041,0.264676738,1.357275847,-4.939269901,2411.474352,2524.990875,21.51856743,4799.949219,-0.013190396,0.065544942,bhajan
bhajan/Jagjit Singh - Hey Ram.opus,1.218508871,0.36280798,0.463637854,0.24308357,0.778122455,-5.271295944,2040.864418,2446.247618,20.02973153,3935.762083,0.006768695,0.048180896,bhajan
bhajan/Hari Om Sharan - Ramji Ke Naam Ne To Pathar Bhi Tare.opus,1.37223714,0.348663086,0.448524098,0.244692001,1.872949807,-4.017529487,2325.922665,2639.546262,21.25365776,4448.507914,-0.005308811,0.053558813,bhajan
bhajan/Sanjay Mittal - Laakhon Paapi Taar Diye.opus,1.361622352,0.320565696,0.546299356,0.265317239,9.355802957,-0.754145862,2239.578526,2624.946347,20.72196047,4541.150919,-0.008249692,0.049959501,bhajan
bhajan/Vikram Hazra - Dena Ho To Dijiye.opus,1.173852029,0.324546855,0.395811993,0.220027969,4.851053211,-2.749040802,1791.931855,2743.874688,21.5226221,3540.266674,-0.011952833,0.029139616,bhajan
bhajan/Kanhiya Mittal - Rangli Rangli Chunariya Tere Naam Balaji.opus,1.530097906,0.38933354,0.473258845,0.244916156,15.76044478,2.175836045,3208.568614,3726.841569,21.17478343,7090.113593,0.00317055,0.058065209,bhajan
bhajan/Bipin Sachdeva - Jaise Suraj Ki.opus,1.502576142,0.378287443,0.49641697,0.256771387,9.228247239,0.088470731,2789.673115,2856.402129,21.36886031,5347.722971,-0.009522762,0.076900127,bhajan
bhajan/Suresh Wadkar - Om Bhurbhuvas Swaha.opus,1.318855636,0.364973623,0.476896687,0.248792733,5.766363408,-1.350954925,2728.155719,3379.470418,21.22750301,5626.130529,-0.001162197,0.058073503,bhajan
bhajan/Sanjay Mittal - Duniya Banane Wale.opus,1.519055332,0.316303414,0.518920563,0.261970568,4.83246366,-1.470053501,2999.293026,3174.718305,20.91221376,6151.107466,0.003750162,0.076375747,bhajan
bhajan/Vipin Sachdeva - Shirdi Wale Sai Baba.opus,1.537459896,0.386740618,0.458232194,0.239742913,3.150823911,-1.360581626,2205.386801,2286.508658,22.46579201,4301.180596,-0.017311573,0.053176795,bhajan
