Song_Name,onset_strength,chroma_stft,chroma_cqt,chroma_cens,melspectrogram,mfcc,spectral_centroid,spectral_bandwidth,spectral_contrast,spectral_rolloff,tonnetz,zero_crossing_rate,Class
AR Rahman - Enna Sona (From OK Jaanu).opus,1.0594932,0.36122724,0.33410984,0.190945099,6.0872564,-2.575323,1944.090487,3026.08337,19.85776967,4304.553547,0.016237925,0.027979613,bollyrom
AR Rahman - Enna Sona.opus,1.157949,0.40964994,0.39282998,0.222249637,6.4362564,-0.6625306,1919.231166,2948.480789,20.88334004,4205.774162,0.017908128,0.029081172,bollyrom
Abhijeet Srivastava - Chashni (From Bharat).opus,1.2979442,0.39700142,0.43523425,0.238782748,11.314057,-0.33976537,2683.763445,3539.400358,20.93485298,6067.355645,-0.039151156,0.042845237,bollyrom
Akhil - Duniyaa (From Luka Chuppi).opus,1.2273184,0.39572233,0.38290188,0.22434072,20.490963,3.6129675,1907.85217,2723.221613,20.93960573,3966.557562,0.028172201,0.032462789,bollyrom
Akhil - Duniyaa.opus,1.2273184,0.39572233,0.38290188,0.22434072,20.490963,3.6129675,1907.85217,2723.221613,20.93960573,3966.557562,0.028172201,0.032462789,bollyrom
Akhil Sachdeva - Tera Ban Jaunga (From Kabir Singh).opus,1.1989207,0.3732661,0.40483347,0.225359712,10.8575,0.39442992,2598.791525,3383.561517,20.93974888,5606.773543,-0.011823042,0.044965662,bollyrom
Alka Yagnik - Agar Tum Saath Ho (From Tamasha).opus,1.2231935,0.34521082,0.3394241,0.198743776,8.6635895,-1.2733108,1192.123399,1592.57575,20.63419389,2382.265157,0.013261532,0.024775411,bollyrom
Alka Yagnik - Agar Tum Saath Ho.opus,1.2231935,0.34521082,0.3394241,0.198743776,8.6635895,-1.2733108,1192.123399,1592.57575,20.63419389,2382.265157,0.013261532,0.024775411,bollyrom
Amaal Mallik - Chale Aana (From De De Pyaar De).opus,1.1978767,0.37730113,0.39354795,0.224207915,12.624108,2.34278,2884.400779,3784.164638,21.28723317,6854.459149,-0.029726786,0.047268084,bollyrom
Amaal Mallik - Soch Na Sake.opus,1.2284207,0.35886806,0.43807155,0.237037497,14.305951,3.2615623,2171.333221,2911.331706,21.28225338,4821.150451,-0.012810457,0.039334415,bollyrom
Ami Mishra - Hasi - Female Version.opus,1.1816243,0.2798471,0.3421209,0.211214323,12.57824,-1.507745,1793.707781,2525.123063,22.20170365,3424.538528,0.048065382,0.033296351,bollyrom
Arijit Singh - Gerua.opus,1.2588792,0.3055321,0.43243462,0.242981645,14.40857,2.1107585,2548.695498,3388.353866,21.48506812,5538.8053,-0.003976681,0.046136455,bollyrom
Arijit Singh - Ghungroo (From War).opus,1.3594129,0.50021815,0.53009385,0.255685146,15.710035,3.9895828,2591.26553,3317.441847,19.6100391,5873.094126,-0.002481161,0.042020497,bollyrom
Arijit Singh - Itni Si Baat Hain (From Azhar).opus,1.2700399,0.36578292,0.4439032,0.240950687,2.4790325,-3.3290052,3018.430266,3825.316536,20.84634081,6881.702312,0.002961445,0.047999398,bollyrom
Arijit Singh - Kabhi Jo Baadal Barse.opus,1.139244,0.3230967,0.31190747,0.200901439,7.660034,1.267836,3139.609435,3602.360831,22.05618992,7210.138329,0.024701951,0.060064709,bollyrom
Arijit Singh - Khairiyat.opus,1.186475,0.37257177,0.40379915,0.224897781,12.475673,0.81940436,2275.50985,3372.360692,21.09294905,4995.656919,0.029292152,0.035263343,bollyrom
Arijit Singh - Pal Pal Dil Ke Paas- Title Track.opus,1.2961752,0.33666703,0.3754921,0.21997836,8.241952,-1.5865836,3450.452964,3829.948161,21.94922425,7907.01999,-0.032344491,0.064861376,bollyrom
Arijit Singh - Palat - Tera Hero Idhar Hai (From Main Tera Hero).opus,1.3766673,0.3821846,0.4805425,0.248562401,6.5122204,1.4144512,4256.754545,4795.398543,21.30620528,9838.35393,-0.01381897,0.074517302,bollyrom
Arijit Singh - Raabta (Title Track) [From Raabta].opus,1.2263359,0.33169433,0.41675407,0.234913854,8.618353,-0.4894429,2667.767978,3304.521364,21.34691074,5653.931768,0.020140302,0.047366331,bollyrom
Arijit Singh - Tujhe Kitna Chahne Lage (From Kabir Singh).opus,1.1676219,0.3615477,0.3459345,0.211932583,16.662346,3.1821063,2248.859659,3404.815556,21.3916395,5243.100216,-0.044382609,0.030955159,bollyrom
Arijit Singh - Ve Maahi.opus,1.3550875,0.35672086,0.3902282,0.225858235,8.627962,2.0049531,2751.226491,3492.355656,21.24377982,6095.906031,0.090017799,0.04943294,bollyrom
Arko - Dariya.opus,1.1553293,0.34295386,0.31814083,0.204999512,8.407541,-2.7397022,2640.504578,3320.782971,21.75116028,6111.33151,-0.023735142,0.04617678,bollyrom
Arko - Nazm Nazm.opus,1.1400108,0.3602312,0.3548631,0.208564296,11.466966,0.11061784,2445.379343,3144.93858,20.41472163,5481.99383,0.054456871,0.042383575,bollyrom
Ash King - Baarish.opus,1.1511595,0.34124094,0.3999967,0.221237253,15.085965,1.0651752,2573.481547,3119.53307,20.13676641,6010.84696,0.045170932,0.047672049,bollyrom
Ash King - I Love You.opus,1.3353895,0.40730155,0.45441478,0.24512483,16.266737,2.9134195,2395.041435,2991.492312,22.03686757,5796.931532,-0.013159034,0.039776337,bollyrom
Ash King - Nazar Na Lag Jaaye (From Stree).opus,1.2942898,0.41020393,0.44201702,0.235983645,9.998065,1.5102259,2898.053234,3901.855499,21.18809827,6707.600796,0.03161708,0.04268646,bollyrom
