Song_Name,onset_strength,chroma_stft,chroma_cqt,chroma_cens,melspectrogram,mfcc,spectral_centroid,spectral_bandwidth,spectral_contrast,spectral_rolloff,tonnetz,zero_crossing_rate,Class
Garhwali/Narender Singh Negi - Aandi Gari.opus,1.32545284,0.323130712,0.494720005,0.254320675,11.35203712,1.08854071,3428.135409,3603.371713,20.73203663,7507.533947,-0.000683199,0.069833265,garhwali
Garhwali/Narendra Singh Negi - Naagni Baazar.opus,1.431403008,0.306604028,0.480135164,0.24961292,0.46706594,-4.899724571,2997.910077,3503.876717,21.17775358,6211.431755,0.005208509,0.061443129,garhwali
Garhwali/Narender Singh Negi - Madhuri Madhvi Dekho Kiran.opus,1.479376617,0.354224578,0.486413478,0.253391362,16.18567805,2.847155635,3657.521731,3278.236268,20.72504611,6998.866408,0.001629276,0.098527877,garhwali
Garhwali/Preetam Bhartwan - Teri Dini Samaun.opus,1.489205764,0.322668798,0.495067165,0.257452405,0.809676172,-5.421034045,2719.333199,3225.359263,20.85403856,5647.860878,0.002665166,0.056720711,garhwali
Garhwali/Narender Singh Negi - Baith Basanti Baith Meri.opus,1.374953353,0.32433508,0.485328886,0.254585927,4.750683899,-1.527303177,3076.27357,3729.016529,21.81451149,7145.656407,-0.007855109,0.053832811,garhwali
Garhwali/Anil Bist - Mera Baju Ranga.opus,1.294974197,0.421249232,0.535040017,0.261087875,13.05915336,3.758487578,2761.215027,3340.884061,21.68417948,6084.636406,-0.007870312,0.054629922,garhwali
Garhwali/Narendra Singh Negi - Phooli Jaali Jaai.opus,1.426344696,0.378870449,0.509379177,0.253405975,7.889530549,0.186849631,2294.051503,2666.059268,22.01311843,4646.624188,-0.014153511,0.05322501,garhwali
Garhwali/Preetam Bhartwan - Dhaar Ma Ki Jon.opus,1.547353539,0.282104425,0.465655531,0.252329243,0.85963961,-5.57405781,3216.947294,3757.939151,22.07773559,7046.537004,-0.002998049,0.061603224,garhwali
Garhwali/Anil - Pana Piremi.opus,1.579163587,0.347396646,0.486057266,0.253193734,2.533993001,-4.448057987,4080.536994,3372.502126,22.14685781,7955.491199,0.000663604,0.111173542,garhwali
Garhwali/Narender Singh Negi - GMO Ki Gari Syali.opus,1.465806771,0.366720252,0.49954997,0.257803293,15.59692977,1.584761622,3540.546672,3398.653386,20.44874852,7257.69764,0.000308941,0.086939499,garhwali
Garhwali/Dinesh Uniyal - Katha Laanu Mankhi Ki.opus,1.332248794,0.266194979,0.410616862,0.232813718,1.623797397,-8.139370662,1505.335726,2080.214789,21.24402752,2705.630721,-0.012427825,0.031317294,garhwali
Garhwali/Preetam Bhartwan - Mohna Teri Murli Baji.opus,1.422409363,0.30926511,0.469850678,0.249867127,0.612484306,-10.30050841,3058.904267,3449.125174,21.83544585,6319.350457,0.000157856,0.067950863,garhwali
Garhwali/Narendra Singh Negi - Mor Moriki Maand Pelya.opus,1.234753611,0.336846978,0.478868726,0.249875922,0.82793097,-5.85836295,2076.504726,2653.451368,21.67404123,4243.226759,0.011009748,0.044562425,garhwali
Garhwali/Dinesh Uniyal - Hey Dida Bou Na Maari.opus,1.565430082,0.310516631,0.499882725,0.259630113,1.428674031,-6.375173178,1761.923728,2389.749231,20.42636929,3132.893686,0.013071946,0.038223063,garhwali
Garhwali/Himanshu Rawat Music - Sajeelo Garhwal.opus,1.488898803,0.412395015,0.53929398,0.255890846,4.068875553,-4.402471023,4699.430993,4431.352299,20.17589293,9508.909417,0.006090252,0.105398011,garhwali
Garhwali/Anil - Kan Full Khilana.opus,1.428704276,0.360070795,0.476467646,0.248217541,0.709431492,-8.686916904,2632.035064,2893.144365,20.63895539,5317.263772,0.003489375,0.057508027,garhwali
Garhwali/Preetam Bhartwan - Saruli Meru Jiya Lagige.opus,1.50619388,0.27810239,0.465346624,0.250489966,0.852935664,-6.732745895,2629.679549,3051.963339,21.97788455,5198.937967,0.008296117,0.057297264,garhwali
Garhwali/Narendra Singh Negi - Ghuguti Ghuron Laigi.opus,1.465339793,0.282168151,0.437364264,0.24187804,3.590356719,-4.541894035,2941.70456,3546.440456,22.20824697,6589.924448,0.005958444,0.051552769,garhwali
Garhwali/Narender Singh Negi - Kajrani Aakhi Teri.opus,1.40664032,0.32340344,0.476748224,0.250812064,4.253426012,-3.356532761,1338.496061,1571.277842,21.06384277,2406.803908,-0.008830609,0.035231916,garhwali
