Song_Name,onset_strength,chroma_stft,chroma_cqt,chroma_cens,melspectrogram,mfcc,spectral_centroid,spectral_bandwidth,spectral_contrast,spectral_rolloff,tonnetz,zero_crossing_rate,Class
Ghulam Ali - Chupke Chupke Raat Din.mp3,1.3904966,0.3907861,0.40560558,0.237638804,4.619595,2.1319134,2464.638005,3102.438285,20.76884808,5232.330663,-0.00978714,0.048647295,ghazal
Ghulam Ali - Hangama Hai Kiu Barbad.mp3,1.4003302,0.33427158,0.40649873,0.232169083,0.7870497,-6.2536626,1525.353056,1627.181268,20.74299666,2942.458654,0.034598161,0.03598499,ghazal
Ghulam Ali - Koi Raat Aisi Bhi Aaye.mp3,1.3462211,0.3489703,0.34539828,0.215834331,2.038067,-2.8217227,2086.692093,2413.112463,21.36791319,4238.609213,-0.057426152,0.050529806,ghazal
Ghulam Ali - Woh Nahi Mera Magar - Duet.mp3,1.3074688,0.36094645,0.3623273,0.221604757,7.1338973,0.31118536,2240.599449,2862.29545,21.55681499,4985.718285,0.014662171,0.038176528,ghazal
Ghulam Ali - Yeh Dil Pagal Dil Mera.mp3,1.388615,0.4497271,0.4821189,0.251064551,4.9859686,0.6403915,2429.403922,2348.490048,21.36952659,5057.199322,-0.004091018,0.062864316,ghazal
Gulzar - Baarish.mp3,1.3436097,0.41949174,0.44540516,0.232124393,0.09653619,-13.086403,1606.883043,1920.364513,19.62958773,3108.665771,-0.024298993,0.041882486,ghazal
Gulzar - Haath Chute Bhi.mp3,1.355074,0.42549875,0.44074255,0.237499157,5.4748816,1.6308559,3566.438766,3604.190865,21.90125206,7593.623112,0.028785339,0.084329653,ghazal
Gulzar - Mausam Ka Jhonka.mp3,1.310373,0.4509795,0.41724265,0.22680529,2.763343,-3.9688263,2552.238116,2853.837737,19.84526098,5224.722123,-0.005391997,0.064784277,ghazal
Gulzar - Mujhko Bhi.mp3,0.9700065,0.3704696,0.4008404,0.207285445,0.5151961,-11.580804,1377.435892,1890.611282,17.29462068,2764.223505,0.005643026,0.028234196,ghazal
Gulzar - Raat Chand Aur Main.mp3,1.3483673,0.48176858,0.3169667,0.203650783,5.027145,2.387463,2646.573549,3200.804729,21.6589013,5843.396053,0.049022209,0.051208028,ghazal
Jagjit Singh  Chitra Singh - Sarakti Jaye Hai.mp3,1.2553529,0.3386374,0.353718,0.212879055,1.5077066,-7.48366,1554.759326,2088.362265,20.13144128,3023.798755,0.007648826,0.030970502,ghazal
Jagjit Singh - Aap Agar In Dinon Yahan Hote.mp3,1.4161804,0.37657648,0.40824336,0.236094401,10.718053,2.4768806,2078.376831,2979.051852,21.64750278,4659.241076,-0.042312862,0.032995411,ghazal
Jagjit Singh - Baat Niklegi To.mp3,1.1879325,0.3594837,0.3107648,0.201405006,2.5113444,-4.031342,1173.205951,1684.130048,21.25665514,2185.619392,-0.002079323,0.022826652,ghazal
Jagjit Singh - Badi Haseen Raat Thi.mp3,1.6783537,0.4499905,0.40314844,0.233462407,3.105108,-1.5064222,3493.355512,3858.543108,21.56094421,7208.001619,0.004713468,0.075265441,ghazal
Jagjit Singh - Dairo-Haram.mp3,1.4851888,0.43825403,0.47048196,0.247108954,6.53576,0.7990178,2964.148674,3471.098571,20.81997798,6558.200334,0.035890018,0.061881668,ghazal
Jagjit Singh - Dard Apna Likh Na Payee.mp3,1.3089287,0.35336798,0.3688671,0.218759309,13.500557,2.9244401,2410.783332,3215.393885,21.42378225,5428.710206,0.022722815,0.041318209,ghazal
Jagjit Singh - Din Kuch Aise Guzarta Hai Koi.mp3,1.4530785,0.3834993,0.40018758,0.232660455,8.816196,0.82907563,3455.432108,3706.574865,21.1066844,7741.884968,0.033509705,0.076152566,ghazal
Jagjit Singh - Gham Ka Khazana Tera Bhi Hai Mera Bhi.mp3,1.3865347,0.38039076,0.39562884,0.227961956,5.355581,-1.1203882,2707.340861,3230.398192,21.6252805,5900.684601,0.062767861,0.053216146,ghazal
Jagjit Singh - Haath Chhute Bhi To Rishtey Nahi Chhoda Karte.mp3,1.3812559,0.31270364,0.33416802,0.208579278,1.1493311,-7.338664,3929.900553,3918.881037,21.40991402,8974.783471,-0.020274396,0.089260463,ghazal
Jagjit Singh - Hoshwalon Ko Khabar Kya (From Sarfarosh).mp3,1.3252361,0.4067709,0.40548941,0.233136557,1.5602882,-1.8878046,3015.339124,3136.261586,20.98775175,6194.291991,-0.043565741,0.072102261,ghazal
Jagjit Singh - Ishq Ki Dastaan Hai Pyare.mp3,1.2786108,0.3458801,0.36337483,0.216445069,3.3979778,-3.736992,1379.421651,1827.120744,20.63436141,2827.034818,-0.041617426,0.026800884,ghazal
Jagjit Singh - Kabhi Yun Bhi To Ho.mp3,1.3119015,0.42018366,0.31588802,0.205866756,1.2423924,-1.275759,2283.819357,2632.949716,22.03443734,4995.318777,-0.032596141,0.050531656,ghazal
Jagjit Singh - Kagaz Ki Kashti.mp3,1.2565114,0.34145743,0.32323775,0.205797365,3.3308969,-4.444561,1583.088469,1989.82579,21.3701165,3055.755674,0.01485668,0.034276199,ghazal
Jagjit Singh - Kainat Chale.mp3,1.3874501,0.37097204,0.3939764,0.23173078,11.924119,3.963795,1783.830449,2209.348093,22.03650989,3872.300716,0.018507697,0.03681761,ghazal
Jagjit Singh - Kal Chaudhvi Ki Raat.mp3,1.3419079,0.37626433,0.4829897,0.254255422,0.37259573,-7.2161765,2130.818134,2290.566855,20.06853941,4281.024357,-0.033594211,0.051826102,ghazal
Jagjit Singh - Kuch Na Kuch (From Visions - Vol 2).mp3,1.3685485,0.37100196,0.37532744,0.222949463,0.6054495,-5.2173114,2775.127829,3250.547174,21.14766637,6087.093473,0.041114307,0.056477666,ghazal
Jagjit Singh - La Pila De Sharab Ai Saqi.mp3,1.3714154,0.35935834,0.4204646,0.231667708,5.8880544,-1.2461773,1698.242531,2324.868115,21.54574437,3506.232208,0.02225198,0.033935974,ghazal
Jagjit Singh - Main Nashe Mein Hoon - Live.mp3,1.3743393,0.40252602,0.4508157,0.243337877,1.6207178,-3.5716677,1691.745799,2118.067652,20.79367217,3468.373671,0.002834896,0.033524647,ghazal
Jagjit Singh - Main Nashe Mein Hoon.mp3,1.3743393,0.40252602,0.4508157,0.243337877,1.6207178,-3.5716677,1691.745799,2118.067652,20.79367217,3468.373671,0.002834896,0.033524647,ghazal
Jagjit Singh - Pratham Aa Chumban.mp3,1.3381201,0.38707453,0.3801168,0.226091569,4.883228,-1.7923132,2181.606072,3269.627052,22.08980935,4692.752651,-0.046149289,0.03700368,ghazal
Jagjit Singh - Pyaar Ka Pehla Khat.mp3,1.3664833,0.39479846,0.36595246,0.219178871,13.727589,2.116007,2403.798178,2855.886737,20.38785464,5381.887123,-0.016362724,0.048036828,ghazal
Jagjit Singh - Sacchi Baat.mp3,1.2686546,0.359452,0.32682878,0.203329931,9.086331,0.002240329,1591.69032,2261.040088,21.21900726,3075.402363,0.073947375,0.028999636,ghazal
Jagjit Singh - Sajaye Payi Hain.mp3,1.257147,0.3775345,0.38515827,0.215317122,2.7389643,0.002036208,1605.397844,1929.890485,21.32209794,3233.891035,0.030669749,0.036128192,ghazal
Jagjit Singh - Samne Hai Jo Use.mp3,1.2024566,0.35533234,0.30184636,0.19507002,1.3745861,-3.9703925,2083.253741,2853.569127,21.70004404,4828.703543,-0.06276592,0.036764161,ghazal
Jagjit Singh - Shaam Se Aankh Mein Nami Si Hai.mp3,1.4034774,0.3765061,0.37733263,0.219897293,5.434587,0.8536811,2574.844057,3077.350375,21.62746751,5703.742027,0.00579812,0.05227363,ghazal
Jagjit Singh - Shayad Aa Jayega Saqi Ko.mp3,1.2094853,0.36796713,0.3151018,0.204494682,1.3992884,-3.6859965,1720.615226,2369.011136,20.87549019,3620.833757,-0.026859778,0.031362977,ghazal
Jagjit Singh - Shayad Main Zindagi Ki Sahar.mp3,1.4750621,0.31612432,0.41913533,0.228603124,1.7393525,-5.005675,1614.476161,2223.822989,22.46371831,3217.432253,0.017112794,0.032075999,ghazal
Jagjit Singh - Tera Chehra Kitna Suhana Lagta Hai (From Unique).mp3,1.3198301,0.41926432,0.4965401,0.249656759,6.9057026,0.34600386,2431.986164,2842.284302,20.61028255,5340.970812,-0.001666335,0.054824359,ghazal
Jagjit Singh - Tera Chehra Kitna.mp3,1.5370523,0.43158215,0.48394653,0.249958382,2.376305,-2.5997036,2452.177117,2824.135974,19.9316513,5360.402735,0.016819207,0.053618645,ghazal
Jagjit Singh - Tere Qadmon Pe Sar Hoga.mp3,1.3486644,0.402557,0.48569933,0.250903309,0.8800482,-6.066545,1972.731112,2447.614459,20.15999621,4045.167654,0.008870861,0.039198792,ghazal
Jagjit Singh - Tu Ambar Ki Aankh Ka Tara.mp3,1.3598268,0.39605978,0.47716832,0.24758349,10.519708,-0.9748948,1631.216474,1941.606582,20.30812055,3063.428123,-0.007492518,0.037879715,ghazal
Jagjit Singh - Tum Itna Jo Muskura Rahe Ho - From Arth.mp3,1.2160459,0.3927126,0.34229332,0.209124068,0.71295613,-7.3792567,2515.178524,2442.331542,21.77655706,5272.582451,0.009541294,0.069056218,ghazal
Jagjit Singh - Tum Ko Dekha To Yeh Khayal Aaya - From Saath Saath.mp3,1.1771226,0.32744065,0.32619438,0.206337693,3.5768378,-4.0587826,1277.76116,1517.607194,21.66067262,2411.887486,-0.004915223,0.029755927,ghazal
Jagjit Singh - Tumko Dekha To.mp3,1.2364452,0.30791914,0.32870045,0.206839685,2.6547039,-5.252742,1502.821042,1970.474474,21.22714703,2886.420122,-0.005013386,0.030926283,ghazal
Jagjit Singh - Us Mod Se Shuroo Karen.mp3,1.3117397,0.29003045,0.38130113,0.224621509,4.400575,-2.9812677,1549.873438,2177.622827,21.2821855,2964.936197,0.027765026,0.029745414,ghazal
Jagjit Singh - Woh Dil Hi Kya Tere Milne Ki Dua Na (From Immortal).mp3,1.3144064,0.34770876,0.39288533,0.223114565,9.784861,-1.9173249,1419.419555,2092.793654,21.57737424,2703.619542,0.00786943,0.027322336,ghazal
Jagjit Singh - Zindagi Kya Hai (From Koi Baat Chale).mp3,1.3480484,0.4253053,0.41738418,0.231306134,11.08169,2.0091848,2158.040419,2997.958985,21.20883715,4890.032509,0.04146847,0.035160231,ghazal
Jagjit Singh - Zindagi Kya Hai.mp3,1.063669,0.42603937,0.41813314,0.231711585,12.152072,1.7504567,835.0186913,1010.11588,20.39230088,1730.464222,0.040328881,0.019823946,ghazal
Javed Hussain - Dil Ki Chalegi.mp3,1.3168328,0.37523487,0.4082206,0.230618712,2.5966294,-0.63113797,2336.598894,3155.001246,21.13025918,5439.286082,-0.042113213,0.039079561,ghazal
Kavita Krishnamurthy - Koi Chaahat Koi Hasrat.mp3,1.4601556,0.31833997,0.4118487,0.238882649,11.772669,-0.01986268,2522.17483,2869.396744,21.79363076,5096.458085,0.000281345,0.048475733,ghazal
Kavita Krishnamurthy - Woh Mere Aas Paas Tha.mp3,1.4062045,0.3237012,0.40081534,0.237178533,10.995203,1.1186476,2440.523768,2726.285096,22.02474993,5041.244124,0.002282755,0.052701643,ghazal
Kirti Anuraag - Meri Ajab Hai Zindagi.mp3,1.3377995,0.35720056,0.37433666,0.222970733,5.5186214,-0.22083977,2590.79887,3066.494374,22.14474152,5573.42144,0.056899653,0.053126133,ghazal
Lalitya Munshaw - Baat Dil Ki Dil Se.mp3,1.3673279,0.35778698,0.35378575,0.210910718,7.3689165,1.5626087,2468.179053,3252.382614,22.96624386,5635.63203,0.027196751,0.04270546,ghazal
Lalitya Munshaw - Kuch Aise Meri.mp3,1.3284837,0.3641081,0.46790394,0.236536106,0.7071318,-5.1933017,3180.866983,3528.217652,21.38839211,7279.057752,0.01460548,0.059854213,ghazal
Mehdi Hassan - Main Khayal Hun.mp3,1.3592623,0.3851542,0.44866368,0.242990708,8.706282,0.6377728,1553.289328,1957.378046,20.90585779,3013.715213,-0.024462547,0.033300645,ghazal
Pankaj Udhas - Aap Jinke Kareeb Hote Hain.mp3,1.3989751,0.3451607,0.38793042,0.229463125,2.814652,-2.7887287,2145.546977,2429.613019,21.69298312,4355.300954,0.036501941,0.052310225,ghazal
Pankaj Udhas - Aap Ka Aitbaar.mp3,1.3801234,0.4190365,0.38098252,0.222577578,6.5615954,0.0301942,1418.047604,2021.284876,21.59549066,2757.845663,0.025604084,0.026170117,ghazal
Pankaj Udhas - Ahista.mp3,1.2183115,0.36002353,0.3655034,0.216793383,0.60820675,-6.467659,1183.284706,1583.497448,20.6992838,2324.222427,0.018955643,0.025527986,ghazal
Pankaj Udhas - Chandi Jaisa Rang - Live In India-1984.mp3,1.4207939,0.368346,0.47862828,0.253071549,2.9613523,-4.544847,2389.516228,2578.685248,21.33383737,4654.551558,-0.009477931,0.058723965,ghazal
Pankaj Udhas - Chandi Jaisa Rang - Live.mp3,1.3377861,0.35562557,0.47489747,0.249128876,3.15174,-5.8040743,1399.935063,1574.823857,21.45382009,2404.922322,0.00787869,0.036264518,ghazal
Pankaj Udhas - Chithhi Aayi Hai.mp3,1.4507804,0.35030752,0.47523478,0.252732972,3.4157436,-2.4185095,2482.249473,2593.713851,21.01972535,4991.360301,0.021746168,0.058436757,ghazal
Pankaj Udhas - Deewaron Se Milkar Rona.mp3,1.4150105,0.39200723,0.41086537,0.23234776,0.7797592,-4.051033,2538.736569,2376.727271,21.81873077,5166.519183,0.004939223,0.069137287,ghazal
Pankaj Udhas - Dil Gaya Tumne Liya.mp3,1.3582193,0.4074517,0.34048116,0.212083976,7.2378497,-1.0643653,1314.700899,1943.000021,21.79764102,2511.539021,-0.038353583,0.023248418,ghazal
Pankaj Udhas - Ghazab Kiya.mp3,1.2994249,0.40143624,0.35525006,0.214971771,6.049232,0.34093755,1269.352647,1870.863768,21.34127508,2397.372159,-0.055458201,0.023886904,ghazal
Pankaj Udhas - Ghungroo Toot Gaye - Introduction - Ghungroo Toot Gaye - Live.mp3,1.311712,0.35889786,0.44181448,0.241556097,1.8787637,-7.6790004,1452.946308,1633.04906,20.94521505,2516.952996,-0.007932893,0.036455364,ghazal
Pankaj Udhas - Introduction - Chandi Jaisa Rang - Live.mp3,1.4633231,0.37481046,0.44611046,0.248051529,2.9007447,-4.263222,3070.286495,3364.873675,22.03202394,6405.624106,-0.0094983,0.079059288,ghazal
Pankaj Udhas - Jeeye to Jeeye Kaise (From Saajan).mp3,1.4004769,0.36037415,0.41930163,0.231323262,10.799092,1.370046,3461.350221,3472.712987,21.71416125,7187.357532,0.024820339,0.075045985,ghazal
Pankaj Udhas - Na Kajare Ki Dhar (From Mohra).mp3,1.4415716,0.33069688,0.43545756,0.247365412,5.777254,-2.804297,2816.70321,2725.538019,21.75788375,5561.131182,0.017982544,0.07467447,ghazal
Pankaj Udhas - Sabko Maloom Hai Main Sharabi Nahin.mp3,1.488436,0.35349715,0.46144906,0.244634743,3.3405967,-4.358152,2462.530369,2363.919259,22.13806734,5163.726818,0.011868823,0.065339681,ghazal
Pankaj Udhas - Sheeshon Ka Maseeha.mp3,0.9482344,0.42304504,0.31333375,0.205994034,7.1478677,-0.198528,805.3925427,936.454646,20.48648638,1670.867449,-0.031738837,0.018974948,ghazal
Pankaj Udhas - Suraj Ki Har Kiran Pe - Live.mp3,1.2483336,0.36359775,0.39134508,0.230204904,2.0160506,-7.43015,1315.284933,1484.266097,20.80284033,2284.576814,-0.009911175,0.03348418,ghazal
Pankaj Udhas - Tere Gham Ko.mp3,1.2528822,0.40282595,0.34736514,0.210791034,9.9799385,1.983539,1215.029207,1744.577047,21.56089073,2420.920585,0.003011502,0.02290943,ghazal
Pankaj Udhas - Udke Shakhon Se Gulab.mp3,1.4635432,0.37485152,0.38871017,0.233502795,0.8394528,-4.437302,2748.490643,2957.063443,20.84998675,5672.157765,0.030734012,0.065013805,ghazal
Pankaj Udhas - Yun Sajaa Chand.mp3,1.3964071,0.29207575,0.3347005,0.220302482,3.0114625,-5.8491845,1832.307363,2106.60959,22.01968996,3479.584212,-0.010924469,0.041408511,ghazal
Talat Aziz - Aaj Jaane Ki Zid.mp3,1.4048733,0.41097385,0.4501393,0.241790755,2.356053,-2.6745179,1643.180187,2393.545112,20.22516261,3128.60285,0.004588884,0.027772965,ghazal
Talat Aziz - Aap Ko Mubarak Ho.mp3,1.2822005,0.36186886,0.41810295,0.234692653,3.3152275,-3.5863917,1604.981643,2017.645692,21.18571993,3131.087657,-0.047425955,0.033458801,ghazal
Talat Aziz - Ab Yahan Koi Nahin Aayega.mp3,1.3122721,0.347724,0.3870797,0.22580088,1.781125,-3.912888,1869.037861,2071.544316,22.41896592,3455.330901,-0.012712604,0.048161127,ghazal
Talat Aziz - Ae jane Wafaa.mp3,1.4062248,0.39488262,0.40911996,0.231452452,1.034401,-3.775485,2654.977505,2843.050128,21.07040323,5447.172986,-0.010575211,0.057966068,ghazal
Talat Aziz - Bahut Yaad Aaye Bhulate Bhulate.mp3,1.2905729,0.31519207,0.35522446,0.220960982,3.3077695,-4.33576,1536.553071,1795.34755,21.46981042,2804.893433,0.030542352,0.036985215,ghazal
Talat Aziz - Chaahat Mein Kya.mp3,1.4387939,0.3852964,0.35631576,0.221707201,1.5671985,-3.0543866,2427.994765,2792.559802,21.59090778,5020.057767,0.008116929,0.050360422,ghazal
Talat Aziz - Chhaye Hai Un-Reshmi.mp3,1.4044236,0.3301289,0.44483402,0.243921473,1.2101865,-4.3325257,2716.035252,3132.484392,20.81385727,5707.647217,-0.043140373,0.05709095,ghazal
Talat Aziz - Dulhan Bani Hai Raat.mp3,1.3036993,0.35344306,0.43855458,0.239623369,5.834618,0.68339336,1709.739525,2164.576516,20.92016429,3153.333502,-0.016243312,0.039553881,ghazal
Talat Aziz - Duniya Kisi Ke Pyar Mein Jannat.mp3,1.3583791,0.3132672,0.3704945,0.224407667,1.9290582,-4.221125,2748.094756,2931.12031,21.85328503,5564.698821,0.069736815,0.064740922,ghazal
Talat Aziz - Hamari Gali Mein Bhi Aate Raho.mp3,1.390579,0.3716474,0.43671766,0.244718045,4.3169184,-0.4661626,1888.716605,2406.976911,20.56990555,3734.467975,0.008703734,0.039046107,ghazal
Talat Aziz - Jahan Mein Tujhsa Haseen Kaun Doosra Hoga.mp3,1.4065554,0.3760153,0.41795138,0.239178676,3.0544724,-0.7087525,2089.307426,2460.840274,21.39792093,4248.125306,0.00353009,0.046617952,ghazal
Talat Aziz - Kabhi Yun Bhi Aa.mp3,1.3395892,0.3878648,0.4217698,0.237719005,2.953024,-3.4941173,1592.813105,1971.580255,20.78373364,3022.295243,-0.026439222,0.034098807,ghazal
Talat Aziz - Kahin Chand Rahon Mein.mp3,1.3100835,0.34251323,0.3993554,0.230501763,3.0381122,-2.473479,2488.740658,3003.30958,21.40064562,5404.085138,0.046954529,0.049728372,ghazal
Talat Aziz - Kahin Main Tha.mp3,1.2015945,0.33431306,0.38017038,0.225251806,2.3159893,-4.7411237,2007.874119,2152.285269,22.52786073,4022.404009,0.005208677,0.05073673,ghazal
Talat Aziz - Khubsurat Hai Aankhen.mp3,1.3873587,0.39746827,0.36901513,0.22219377,8.579793,1.1531588,2497.276163,2752.584197,21.65229845,4891.535456,0.002577742,0.055499683,ghazal
Talat Aziz - Khuda Kare Ki Mohbbaat Main - Version 1.mp3,1.3617092,0.34276807,0.3952713,0.233064875,3.718215,-2.106962,2753.223186,3088.805106,21.04742187,5742.74782,0.01153398,0.061822857,ghazal
Talat Aziz - Nawazish Karam Shukriya Meharbani - Original.mp3,1.3441447,0.33818248,0.37393606,0.228133012,1.7019876,-2.7705972,2024.69028,1999.435162,21.41249862,3905.241243,-0.024717613,0.056115651,ghazal
Talat Aziz - Pathar Pe Gira Sheesha.mp3,1.3601402,0.34996805,0.39058176,0.230452069,1.5722088,-2.5781686,2571.924483,3200.414727,21.15774238,5404.737064,-0.006746885,0.050751808,ghazal
Talat Aziz - Pyar Karna To Ek Ibadat Hai.mp3,1.3092585,0.36549935,0.4416507,0.23897194,3.0181804,-4.3309073,2101.237553,2374.204838,21.35452222,4322.536837,-0.022475544,0.046863288,ghazal
Talat Aziz - Sun Li Jo Khuda Ne.mp3,1.0999316,0.3828967,0.37274152,0.221760836,5.182005,-1.4290761,966.1229076,1064.693332,22.20884527,2007.673295,0.016234306,0.025964824,ghazal
Talat Aziz - Ye Kehrahi Hai.mp3,1.4205964,0.33733615,0.43585587,0.241025149,2.96147,-2.573092,2051.078912,2304.006625,21.88434284,4286.630046,-0.002792834,0.046337294,ghazal
