Song_Name,onset_strength,chroma_stft,chroma_cqt,chroma_cens,melspectrogram,mfcc,spectral_centroid,spectral_bandwidth,spectral_contrast,spectral_rolloff,tonnetz,zero_crossing_rate,Class
I Play the Coolest Instrument [TubeRipper.com].m4a,1.5202224,0.39143535,0.54237235,0.25454167,3.255809,-12.365108,2373.405626,1860.875447,27.59950701,4241.367405,-0.013888185,0.167310676,instrument
How Can I Play This Guitar [TubeRipper.com].m4a,1.3093069,0.3424301,0.5077365,0.25988477,2.7209795,-15.263918,1901.948753,1689.178255,24.5557802,3429.483083,0.002662718,0.117760939,instrument
Berklee Online - Scholarship Students in India [TubeRipper.com].m4a,1.7817667,0.42513388,0.40812743,0.24815351,11.097136,3.6830862,1314.737328,1802.417966,25.38469547,2811.430888,0.052638458,0.042089844,instrument
When Metallica only gives you 60 seconds to audition [TubeRipper.com].m4a,1.191535,0.27275333,0.27166492,0.18100679,12.135239,-2.7714865,885.3366882,1146.062079,30.68033912,1519.989731,0.097881677,0.049922394,instrument
Emmanuel Séjourné Attraction (short version) performed by Christoph Sietzen [TubeRipper.com].m4a,1.7710087,0.23315696,0.35017002,0.20911004,4.793006,-4.356281,956.9687893,1320.746673,25.30352477,1727.959158,0.006139941,0.041951162,instrument
Bhool Bhulaiyaa 2 - Title Track (Cover) [TubeRipper.com].m4a,1.7806952,0.3209407,0.51561916,0.26033124,2.936472,-13.412465,2033.631841,1818.364826,25.18889839,3810.094761,0.033250702,0.119494459,instrument
the mysore rebab player [TubeRipper.com].m4a,1.718545,0.22493424,0.33780554,0.2290181,3.5794516,-11.349291,2806.546413,1408.230307,28.57976276,4381.750368,0.026960899,0.235521822,instrument
Playing God Unplugged [TubeRipper.com].m4a,1.8139414,0.30829915,0.45561296,0.24679226,12.2283535,-0.3170655,1794.189186,2219.999769,25.56670381,3931.72843,0.032151629,0.0650147,instrument
How Many Instruments! #shorts [TubeRipper.com].m4a,0.9571951,0.41170675,0.5193403,0.25723588,0.9163951,-10.700384,1845.383239,2180.527058,22.90084417,3923.291016,0.001001651,0.074011859,instrument
Playing God (Polyphia) but on one guitar only [TubeRipper.com].m4a,1.5991254,0.29950848,0.4016655,0.2397159,8.680957,0.9692025,1262.391935,1864.30783,28.10702223,2529.784804,0.036183566,0.04690453,instrument
Poor mans banjo [TubeRipper.com].m4a,1.5108753,0.40793806,0.49337915,0.2543955,0.45338988,-20.402653,2253.888864,2337.910711,23.85420005,4617.746995,-0.017840075,0.112880797,instrument
DIY Guitar Eksperimen Gitar tipis Test #4 [TubeRipper.com].m4a,1.3474483,0.26540053,0.29199377,0.18870734,6.723787,-10.609975,1560.357279,1891.234226,31.07222703,3296.711967,0.101720677,0.066675073,instrument
Misa Digital Guitar Demo [TubeRipper.com].m4a,1.2199688,0.4396643,0.47119376,0.25294697,6.282659,2.1148784,1940.489621,2368.817849,23.31072701,4301.421669,0.011269022,0.067883819,instrument
Awesome Musical Instruments from Around the World! #shorts [TubeRipper.com].m4a,1.7251781,0.40903544,0.49304307,0.2525719,3.5759006,-5.6599355,1653.894297,1664.759513,21.7126304,3097.708248,-0.017158514,0.089352198,instrument
Nostalgic Minecraft Music with Cool Instruments [TubeRipper.com].m4a,0.8881746,0.2297259,0.25082418,0.17752586,4.801946,-14.853593,701.0189294,800.7209157,28.02762241,1129.647938,0.034513553,0.043754718,instrument
playing instruments as incorrectly as possible [TubeRipper.com].m4a,1.4554923,0.3762808,0.543031,0.25761834,24.861542,1.7104406,2000.507153,2089.743886,23.01688163,4143.716518,-0.017921128,0.090066964,instrument
dholki(naal) performance on roland handsonic hpd 15 by Duke Bhowmick . WhatsApp - 8599956663 [TubeRipper.com].m4a,1.9615055,0.29279402,0.44870344,0.2488194,6.005718,-6.025891,2001.461772,2115.557747,28.22031903,4013.163424,-6.23E-06,0.101008158,instrument
When you dont know how to play the guitar but you gotta impress your crush [TubeRipper.com].m4a,1.0042138,0.38380373,0.3927994,0.21556307,2.9660735,-14.885714,2137.947535,2435.82887,27.73669955,4776.486895,0.068233413,0.07636153,instrument
Take me to church [TubeRipper.com].m4a,1.4689004,0.3051579,0.35707235,0.22013818,28.910892,0.99915266,1274.957757,1857.072149,26.73847765,2604.445864,0.025593148,0.047731922,instrument
Multitrack Seaboard GRAND performance [TubeRipper.com].mp4.m4a,0.93762827,0.2579773,0.39830542,0.22042242,7.390306,-2.3350315,919.9222998,1126.637587,27.36597779,1644.769486,0.044606438,0.052757237,instrument
Kadence Digtal Piano DP02 Brown (64 kbps) (1).m4a,1.0226772,0.2446488,0.31865436,0.21374811,2.9488852,-6.931378,1183.023283,1150.049569,28.08067089,2268.891813,-0.034657812,0.070914567,instrument
Learn to Play Any Song On Your Own Flute _ Learn 3 Secrets (64 kbps).m4a,1.3545839,0.32868215,0.5106531,0.26261094,1.3674518,-7.0220914,1002.597715,1173.865207,24.69072474,1820.608919,-0.000344086,0.053906276,instrument
Cafe Piano Vol4【For Work  Study】Restaurants BGM Lounge Music shop BGM.m4a,0.61792845,0.24144097,0.30542335,0.1972334,1.1019689,-10.407668,467.0554044,493.7416118,30.02557258,745.239057,0.042701246,0.032579045,instrument
Melodic Wave.m4a,0.9871114,0.2919345,0.3479637,0.22200039,0.8866968,-3.9381735,886.8755052,1397.690935,26.39680797,1561.919517,0.016735335,0.04020839,instrument
Pirates of the Caribbean Theme - Fingerstyle Guitar Cover.m4a,1.1292975,0.27161527,0.32786375,0.214114,16.325083,-2.842994,1050.014082,1446.943862,27.88386398,1853.241132,-0.042138902,0.049107394,instrument
Pirates of the Caribbean Theme - Metal Guitar Cover by Kfir Ochaion.m4a,1.1911604,0.30577493,0.52368873,0.26181033,7.300614,2.8972945,2029.607015,2046.948322,24.57691431,4095.578482,0.010650547,0.110132626,instrument
George Michael - Careless Whisper Fingerstyle.m4a,1.2914885,0.26932436,0.29356554,0.1987302,14.411977,0.26878926,813.3783413,1222.172856,27.70809879,1503.844399,0.016753454,0.034234156,instrument
Bella Ciao - Metal Guitar Cover by Kfir Ochaion.m4a,1.149419,0.34526274,0.44321033,0.24275298,4.5268874,-2.3909476,2267.19991,2049.487663,26.36244966,4441.766718,0.0196283,0.132653512,instrument
