Song_Name,onset_strength,chroma_stft,chroma_cqt,chroma_cens,melspectrogram,mfcc,spectral_centroid,spectral_bandwidth,spectral_contrast,spectral_rolloff,tonnetz,zero_crossing_rate,Class
Road Side Singer Anshul Riaji Fakira Real Talent Connaught Place Delhi Fantastic Viral [TubeRipper.com].m4a,1.1037233,0.35105354,0.48948777,0.24100684,3.8159506,-6.83211,2350.703081,1881.419083,28.19479197,4099.633635,-0.018747238,0.182173285,raw_music
official guitar playing roadside artist [TubeRipper.com].m4a,1.130646,0.37081626,0.42253456,0.24501471,1.7622236,-6.346728,1976.280433,1840.526895,25.92386124,3778.072321,0.057627152,0.109075968,raw_music
Amazing guitar player on roadside indian talent [TubeRipper.com].m4a,1.7264842,0.26846668,0.44943228,0.2628625,4.0985856,-10.518219,3260.640996,2621.680205,29.21348256,6413.421516,-0.006217417,0.202074146,raw_music
Tumling Roadside Guitar [TubeRipper.com].m4a,1.3452588,0.27967706,0.34998798,0.2189172,0.31514838,-13.767138,1879.833034,2467.233482,27.1901983,4565.943497,0.003789219,0.054178678,raw_music
Jerrys Roadside Assistance - Daryl Kellie [TubeRipper.com].m4a,1.6879499,0.3187884,0.46926838,0.25346747,4.552673,-1.0454215,1310.054241,1953.322439,26.29047804,2802.018724,0.02328506,0.044111857,raw_music
Jitni dafa guitar cover by Roadside Rockstar [TubeRipper.com].m4a,1.4343053,0.29499546,0.3549928,0.21988942,9.626335,-5.106338,2119.842346,2557.141063,28.0752773,4708.162288,-0.014144841,0.082690209,raw_music
the mysore rebab player [TubeRipper.com].m4a,1.718545,0.22493424,0.33780554,0.2290181,3.5794516,-11.349291,2806.546413,1408.230307,28.57976276,4381.750368,0.026960899,0.235521822,raw_music
Venmathi guitar cover- minnale- roadside romeos [TubeRipper.com].m4a,1.2273134,0.26629385,0.411338,0.22574809,4.2494,-1.9849154,678.1169866,1085.188681,29.36280309,1124.414708,-0.014822157,0.035355307,raw_music
Road side singing RETURNER_MAN #shorts #song #roadside #viral #vlog #youtube [TubeRipper.com].m4a,1.1791141,0.27791473,0.43075752,0.25053397,34.067944,2.565834,1791.130841,1797.242269,23.66715649,3777.918934,0.027046211,0.092910194,raw_music
Ore piya songHasnabad stationevening timehis voice #vairal #love [TubeRipper.com].m4a,1.5898612,0.3337418,0.46328974,0.25136143,4.055435,-4.482463,1530.452139,2008.923999,28.60470793,2990.900987,0.04868684,0.069783877,raw_music
When They Know Coffin Dance! At The Public Piano - As Soon As The Tune Drops People Stop To Listen [TubeRipper.com].m4a,1.4119722,0.21248549,0.35171136,0.23189358,5.8640366,-2.4958408,942.2350161,1187.778724,30.34885785,1430.976996,0.058012364,0.059026048,raw_music
Teri mitti .... By Shivam guitar boy [TubeRipper.com].m4a,1.6075376,0.33714607,0.48525405,0.2565268,4.461711,-4.2897706,2135.458508,2289.405244,29.87143914,4521.413352,0.024181032,0.118914512,raw_music
Best street Guitarist in India-He use only 2 strings Amazing at Brigade Bengaluru byraa_aa [TubeRipper.com].m4a,1.3011767,0.30813777,0.4493037,0.23742983,3.5570016,-2.3335967,1728.976567,2102.816771,23.86202888,3643.684208,-0.013319693,0.061498847,raw_music
Viral boy street singer awesome song [TubeRipper.com].m4a,1.5570232,0.3301935,0.43950582,0.25177073,8.127679,-12.550262,2557.66586,2731.549869,26.83916287,5725.447421,0.03057787,0.111632843,raw_music
Ore piya- Rahat Fateh Ali- Cover by Susmoy Paul [TubeRipper.com].m4a,1.4650469,0.2842243,0.43690953,0.24976428,1.7180333,-6.330319,1213.513397,1665.002136,30.1673913,2107.951037,-0.004821948,0.057811293,raw_music
Dill De Diya Hai Singing Prank On Cute Girl #shorts #singing #funnyshorts #trending #shortsfeed [TubeRipper.com].m4a,1.4605064,0.2507193,0.3171396,0.21390906,16.446358,-4.2937183,1118.64336,1545.856574,27.93434951,2064.681613,0.044826668,0.045653716,raw_music
Choti Bachi Ho Kya Guess Song Name [TubeRipper.com].m4a,2.4820528,0.20064162,0.3517513,0.24594039,4.2555857,-12.612662,2515.059492,2358.945325,30.2866302,5108.306021,-0.001224538,0.135635004,raw_music
Is the of KHAIRIYATSing by shakeel. Music without editing [TubeRipper.com].m4a,1.325654,0.2728774,0.3036456,0.20354787,10.054367,-6.5923743,928.6135935,1359.337307,29.11345811,1779.667419,-0.015015842,0.035796596,raw_music
O Bedardeya Khamoshiya Street Singing Mashup in Public Naveen Music Official [TubeRipper.com].m4a,1.6170307,0.24697441,0.34869054,0.22605903,15.893528,-6.3593364,1686.624728,2113.6683,30.10275432,3253.953423,-0.000751238,0.076691282,raw_music
Street Singing in Green Park Market Delhi [TubeRipper.com].m4a,1.3068262,0.34263632,0.44640654,0.2499748,3.2083883,-4.799414,1602.299744,1932.800595,25.74805396,3028.718182,0.025302697,0.076037583,raw_music
Talented Boy sings at Connaught PlaceDelhi [TubeRipper.com].m4a,1.637323,0.31794575,0.5661437,0.26914525,1.9567424,0.044693664,3080.38171,3163.161423,26.16443811,7215.512289,0.003577899,0.147349083,raw_music
Talented Boy sings at Connaught PlaceDelhi [TubeRipper.com] (1).m4a,1.637323,0.31794575,0.5661437,0.26914525,1.9567424,0.044693664,3080.38171,3163.161423,26.16443811,7215.512289,0.003577899,0.147349083,raw_music
Chaleya Jawan Kumar Mridul [TubeRipper.com].m4a,1.3940754,0.2602415,0.30391195,0.19630584,9.585364,-3.9127278,1165.276117,1674.299051,27.90986223,2059.71404,0.056158281,0.044509758,raw_music
This street singer sing more better then the all singers [TubeRipper.com].m4a,2.087476,0.2461092,0.31960166,0.22521731,2.734974,-13.638452,3544.20359,2305.165774,27.32885592,6303.060372,-0.036976967,0.218337834,raw_music
Shayad(Love Aaj Kal) Without any instruments cover by Aakib Shoaib [TubeRipper.com].m4a,1.2439766,0.24496837,0.33402047,0.21294355,1.6098725,-10.15672,1803.073844,2223.618684,29.95342614,3806.474112,0.03400232,0.066119714,raw_music
Street Singer आवज ऐस क मदहश कर द [TubeRipper.com].m4a,1.5832216,0.30878758,0.37247577,0.2385087,4.310998,-2.6894486,1347.167411,1784.850023,31.65276723,2845.4064,0.036287636,0.053210017,raw_music
Dont Miss Out on O Re Piya The Viral Sensation with 2.1M Views! [TubeRipper.com].m4a,1.6894277,0.28769946,0.4138938,0.24678104,4.8508325,-6.3402567,2230.402786,2349.741209,26.13073788,4592.933375,-0.030161246,0.105670311,raw_music
Banjara Song Cover By Jayant Joshi [TubeRipper.com].m4a,1.309006,0.2746758,0.31228036,0.2106981,3.4824758,-13.390045,2167.185578,2189.355011,29.17523887,4332.907313,-0.033223356,0.098052637,raw_music
road singer ..jay jay kara [TubeRipper.com].m4a,1.5915436,0.24367833,0.34219953,0.23111977,8.987724,-13.136158,1707.602328,1833.819099,25.20752058,3043.483316,-0.019784494,0.083427465,raw_music
Viral Video Boy Sings Jab Koi Baat Bigad Jaye On Street Wins Hearts [TubeRipper.com].m4a,1.1039203,0.2324938,0.2664233,0.19218746,18.295012,-5.6797094,672.3985483,1124.879185,30.17851163,1084.815333,0.072412129,0.025163783,raw_music
Aadat cover by Ahmed [TubeRipper.com].m4a,1.4687294,0.35007918,0.5490069,0.27024612,0.4474909,-8.168985,1487.687075,1924.204124,24.53301662,2817.851815,-0.000432901,0.069274828,raw_music
roadside singer.......#shorts [TubeRipper.com].m4a,1.3758839,0.27983767,0.47952655,0.2590058,5.4916463,-1.8883076,1551.598678,1823.335023,29.36300785,2941.263968,0.00925217,0.085184652,raw_music
Uska hi bana Arijit Singh 1920 Evil Returns Cover by Rahul [TubeRipper.com].m4a,1.4854529,0.2808868,0.397586,0.23619744,1.9333799,-7.958666,2642.865561,3051.72109,29.4553091,6573.720693,-0.007836709,0.108892706,raw_music
