Song_Name,onset_strength,chroma_stft,chroma_cqt,chroma_cens,melspectrogram,mfcc,spectral_centroid,spectral_bandwidth,spectral_contrast,spectral_rolloff,tonnetz,zero_crossing_rate,Class
sufi/Rahat Fateh Ali Khan - Main Jahaan Rahoon (From Namastey London).opus,1.346430607,0.336697122,0.514631761,0.253767155,2.936179719,-3.282068407,2726.262317,3016.629425,21.61380233,5467.396362,-0.003020236,0.061881152,sufi
sufi/Papon - Moh Moh Ke Dhaage (Male).opus,1.199559846,0.377229555,0.406969227,0.227203981,3.71354238,-2.226071918,2327.715591,3329.480256,21.21225229,4923.799321,-0.016309144,0.035581692,sufi
sufi/Kamal Khan - Ishq Sufiyana (Male).opus,1.455689146,0.41201311,0.45069137,0.23900933,7.369129291,-0.625436566,3310.715295,3834.352149,20.82294381,7612.28862,-0.007523229,0.061670379,sufi
sufi/SalimSulaiman - Saaiyaan.opus,1.266557208,0.362069472,0.436610521,0.234688983,17.68803974,4.13732699,2128.717349,2981.073213,20.94919271,4303.11963,-0.008596196,0.039349636,sufi
sufi/AR Rahman - Kun Faya Kun.opus,1.25683195,0.384578096,0.480817532,0.249278648,1.074794285,-6.189684363,2894.94148,3446.662479,20.64487325,6187.33319,-0.012525261,0.054923459,sufi
sufi/Farhan Saeed - Latthay Di Chaadar.opus,1.268019955,0.410342135,0.458848271,0.238085324,7.200506006,1.124807165,2170.772681,3270.933257,20.69919776,4686.030729,0.000256781,0.031547955,sufi
sufi/Mohit Chauhan - Pee Loon.opus,1.43024596,0.405996348,0.49544169,0.249415389,8.449671613,0.239464894,2775.377313,3379.656169,20.34849736,6123.142648,-0.003545803,0.051438911,sufi
sufi/Quratulain Balouch - Sammi Meri Waar.opus,1.198860248,0.401624191,0.456157899,0.237253608,8.153970906,1.808792892,2719.35875,3223.243045,21.37743098,6226.743535,-0.010837968,0.04844327,sufi
sufi/Pritam - Hawayein (From Jab Harry Met Sejal).opus,1.181020362,0.31317315,0.440914916,0.23605001,8.620147103,-0.916691203,2213.412206,3190.470035,20.1912624,4635.865694,-0.007456037,0.037436876,sufi
sufi/Amit Trivedi - Namo Namo.opus,1.230537086,0.39531652,0.470732865,0.24248655,10.28678866,2.222876853,2308.536874,3323.64921,20.76181287,4824.632461,0.018935192,0.039359259,sufi
sufi/Rahat Fateh Ali Khan - Main Tenu.opus,1.309998993,0.385291201,0.484925151,0.246025227,2.014671137,-1.225057521,2230.835573,2875.218553,21.40183749,4540.987725,0.013043551,0.045508126,sufi
sufi/Shankar-Ehsaan-Loy - Kal Ho Naa Ho.opus,1.243713482,0.398397805,0.454363,0.238216863,9.920671824,1.353098671,2275.178319,2980.090322,20.6150659,5042.092335,0.016391675,0.039734731,sufi
sufi/Faiz Ali Faiz - Ya Ali.opus,1.448035724,0.395481582,0.525625382,0.260442659,3.538297905,-2.004692581,2151.696627,2516.49173,20.8593138,4661.389816,0.014273024,0.05049284,sufi
sufi/Nusrat Fateh Ali Khan - Sanu Ek Pal Chain.opus,1.494667662,0.293637995,0.459036732,0.243992058,1.853434732,-7.993348829,2044.177918,2201.88961,22.52954436,3731.523563,-0.00458353,0.051452321,sufi
sufi/Kailash Kher - Teri Deewani.opus,1.216447525,0.385724709,0.47308047,0.243030141,14.67864094,2.310561808,3511.413831,3735.366674,20.1228681,7853.275261,0.007894568,0.076819551,sufi
